Datum,Zaehlerstand
01.06.2016,1139
02.06.2016,1982
03.06.2016,1754
04.06.2016,880
05.06.2016,1761
06.06.2016,3206
07.06.2016,3165
08.06.2016,3471
09.06.2016,3403
10.06.2016,3151
11.06.2016,1564
12.06.2016,1293
13.06.2016,1799
14.06.2016,2024
15.06.2016,1788
16.06.2016,2101
17.06.2016,1374
18.06.2016,696
19.06.2016,1787
20.06.2016,2256
21.06.2016,2215
22.06.2016,3461
23.06.2016,4011
24.06.2016,2021
25.06.2016,279
26.06.2016,1862
27.06.2016,2021
28.06.2016,3041
29.06.2016,3306
30.06.2016,2217
01.07.2016,2118
02.07.2016,1002
03.07.2016,1715
04.07.2016,2629
05.07.2016,2750
06.07.2016,2886
07.07.2016,3226
08.07.2016,2810
09.07.2016,1931
10.07.2016,3116
11.07.2016,2700
12.07.2016,2252
13.07.2016,1881
14.07.2016,2239
15.07.2016,2081
16.07.2016,1264
17.07.2016,2190
18.07.2016,3257
19.07.2016,3676
20.07.2016,3257
21.07.2016,2553
22.07.2016,2054
23.07.2016,991
24.07.2016,2406
25.07.2016,2331
26.07.2016,2337
27.07.2016,2452
28.07.2016,1231
29.07.2016,1310
30.07.2016,1366
31.07.2016,848
01.08.2016,1965
02.08.2016,679
03.08.2016,634
04.08.2016,1692
05.08.2016,1381
06.08.2016,1446
07.08.2016,3067
08.08.2016,1788
09.08.2016,1457
10.08.2016,1137
11.08.2016,991
12.08.2016,1133
13.08.2016,2679
14.08.2016,2412
15.08.2016,2776
16.08.2016,3102
17.08.2016,3224
18.08.2016,2754
19.08.2016,2313
20.08.2016,1396
21.08.2016,807
22.08.2016,1782
23.08.2016,3652
24.08.2016,3964
25.08.2016,3680
26.08.2016,3283
27.08.2016,3391
28.08.2016,2935
29.08.2016,2570
30.08.2016,3475
31.08.2016,3695
01.09.2016,4200
02.09.2016,3108
03.09.2016,1882
04.09.2016,784
05.09.2016,2584
06.09.2016,3541
07.09.2016,3833
08.09.2016,3733
09.09.2016,3242
10.09.2016,2680
11.09.2016,2372
12.09.2016,3378
13.09.2016,3591
14.09.2016,3622
15.09.2016,3366
16.09.2016,3849
17.09.2016,1391
18.09.2016,1459
19.09.2016,2745
20.09.2016,2566
21.09.2016,3032
22.09.2016,2818
23.09.2016,2785
24.09.2016,1921
25.09.2016,4475
26.09.2016,2585
27.09.2016,2925
28.09.2016,2701
29.09.2016,2765
30.09.2016,2043
01.10.2016,809
02.10.2016,830
03.10.2016,1029
04.10.2016,2133
05.10.2016,2305
06.10.2016,1880
07.10.2016,1648
08.10.2016,874
09.10.2016,1315
10.10.2016,1246
11.10.2016,1307
12.10.2016,914
13.10.2016,1193
14.10.2016,1128
15.10.2016,2009
16.10.2016,1752
17.10.2016,1599
18.10.2016,1659
19.10.2016,1134
20.10.2016,814
21.10.2016,954
22.10.2016,572
23.10.2016,1097
24.10.2016,1198
25.10.2016,1473
26.10.2016,3041
27.10.2016,2140
28.10.2016,1735
29.10.2016,1112
30.10.2016,3096
31.10.2016,2105
01.11.2016,1497
02.11.2016,1662
03.11.2016,1816
04.11.2016,1593
05.11.2016,735
06.11.2016,762
07.11.2016,866
08.11.2016,1404
09.11.2016,1026
10.11.2016,1009
11.11.2016,980
12.11.2016,687
13.11.2016,692
14.11.2016,1567
15.11.2016,801
16.11.2016,684
17.11.2016,981
18.11.2016,871
19.11.2016,747
20.11.2016,501
21.11.2016,1226
22.11.2016,1418
23.11.2016,1413
24.11.2016,1534
25.11.2016,1434
26.11.2016,1679
27.11.2016,530
28.11.2016,1385
29.11.2016,1345
30.11.2016,1277
01.12.2016,1170
02.12.2016,1015
03.12.2016,537
04.12.2016,517
05.12.2016,1259
06.12.2016,1359
07.12.2016,1308
08.12.2016,1308
09.12.2016,1175
10.12.2016,2019
11.12.2016,559
12.12.2016,1355
13.12.2016,1059
14.12.2016,1290
15.12.2016,1331
16.12.2016,1211
17.12.2016,550
18.12.2016,469
19.12.2016,1343
20.12.2016,1306
21.12.2016,2442
22.12.2016,549
23.12.2016,1054
24.12.2016,262
25.12.2016,207
26.12.2016,237
27.12.2016,578
28.12.2016,535
29.12.2016,719
30.12.2016,564
31.12.2016,321
01.01.2017,275
02.01.2017,291
03.01.2017,423
04.01.2017,428
05.01.2017,635
06.01.2017,582
07.01.2017,202
08.01.2017,235
09.01.2017,1093
10.01.2017,899
11.01.2017,1011
12.01.2017,1144
13.01.2017,596
14.01.2017,390
15.01.2017,432
16.01.2017,1209
17.01.2017,1101
18.01.2017,1144
19.01.2017,1089
20.01.2017,1012
21.01.2017,594
22.01.2017,610
23.01.2017,1059
24.01.2017,783
25.01.2017,931
26.01.2017,1004
27.01.2017,1004
28.01.2017,587
29.01.2017,612
30.01.2017,807
31.01.2017,1178
01.02.2017,1310
02.02.2017,1391
03.02.2017,999
04.02.2017,1535
05.02.2017,855
06.02.2017,1332
07.02.2017,1001
08.02.2017,1281
09.02.2017,1364
10.02.2017,1068
11.02.2017,241
12.02.2017,767
13.02.2017,1353
14.02.2017,1509
15.02.2017,1718
16.02.2017,1018
17.02.2017,950
18.02.2017,734
19.02.2017,1628
20.02.2017,1052
21.02.2017,1141
22.02.2017,732
23.02.2017,544
24.02.2017,758
25.02.2017,585
26.02.2017,620
27.02.2017,483
28.02.2017,670
01.03.2017,873
02.03.2017,886
03.03.2017,1178
04.03.2017,2519
05.03.2017,819
06.03.2017,841
07.03.2017,872
08.03.2017,691
09.03.2017,888
10.03.2017,1555
11.03.2017,1273
12.03.2017,2154
13.03.2017,2031
14.03.2017,2225
15.03.2017,2192
16.03.2017,2644
17.03.2017,1416
18.03.2017,1115
19.03.2017,806
20.03.2017,1636
21.03.2017,1570
22.03.2017,1967
23.03.2017,2297
24.03.2017,2256
25.03.2017,1823
26.03.2017,2075
27.03.2017,2664
28.03.2017,2848
29.03.2017,2357
30.03.2017,2659
31.03.2017,2809
01.04.2017,1076
02.04.2017,2492
03.04.2017,2496
04.04.2017,4377
05.04.2017,2165
06.04.2017,1751
07.04.2017,1897
08.04.2017,2921
09.04.2017,2986
10.04.2017,1554
11.04.2017,1616
12.04.2017,1526
13.04.2017,1128
14.04.2017,915
15.04.2017,407
16.04.2017,424
17.04.2017,702
18.04.2017,1467
19.04.2017,1683
20.04.2017,1882
21.04.2017,2539
22.04.2017,871
23.04.2017,1314
24.04.2017,2758
25.04.2017,2082
26.04.2017,2427
27.04.2017,2430
28.04.2017,2022
